#Horizon flight at 1000psi,,,
#10th August 2024,,,
time,altitude f,speed,speed averaged
s,feet,f/s,f/s
24.25,5143,-60,-26.66666667
24.3,5142,-20,-26.66666667
24.35,5142,0,-13.33333333
24.4,5141,-20,-20
24.45,5139,-40,-33.33333333
24.5,5137,-40,-20
24.55,5138,20,-26.66666667
24.6,5135,-60,-26.66666667
24.65,5133,-40,-40
24.7,5132,-20,-33.33333333
24.75,5130,-40,-26.66666667
24.8,5129,-20,-33.33333333
24.85,5127,-40,-13.33333333
24.9,5128,20,-13.33333333
24.95,5127,-20,-6.666666667
25,5126,-20,-33.33333333
25.05,5123,-60,-26.66666667
25.1,5123,0,-33.33333333
25.15,5121,-40,-26.66666667
25.2,5119,-40,-33.33333333
25.25,5118,-20,-40
25.3,5115,-60,-26.66666667
25.35,5115,0,-20
25.4,5115,0,-13.33333333
25.45,5113,-40,-26.66666667
25.5,5111,-40,-20
25.55,5112,20,-40
25.6,5107,-100,-20
25.65,5108,20,-40
25.7,5106,-40,-13.33333333
25.75,5105,-20,-26.66666667
25.8,5104,-20,-26.66666667
25.85,5102,-40,-26.66666667
25.9,5101,-20,-40
25.95,5098,-60,-13.33333333
26,5100,40,-26.66666667
26.05,5097,-60,-20
26.1,5095,-40,-40
26.15,5094,-20,-26.66666667
26.2,5093,-20,-26.66666667
26.25,5091,-40,-20
26.3,5091,0,-20
26.35,5090,-20,-20
26.4,5088,-40,-33.33333333
26.45,5086,-40,-33.33333333
26.5,5085,-20,-20
26.55,5085,0,-26.66666667
26.6,5082,-60,-26.66666667
26.65,5081,-20,-26.66666667
26.7,5081,0,-26.66666667
26.75,5078,-60,-26.66666667
26.8,5077,-20,-40
26.85,5075,-40,-20
26.9,5075,0,-6.666666667
26.95,5076,20,-13.33333333
27,5073,-60,-20
27.05,5072,-20,-33.33333333
27.1,5071,-20,-26.66666667
27.15,5069,-40,-33.33333333
27.2,5067,-40,-26.66666667
27.25,5067,0,-26.66666667
27.3,5065,-40,-26.66666667
27.35,5063,-40,-26.66666667
27.4,5063,0,-26.66666667
27.45,5061,-40,-26.66666667
27.5,5059,-40,-33.33333333
27.55,5058,-20,-33.33333333
27.6,5056,-40,-13.33333333
27.65,5057,20,-20
27.7,5055,-40,-6.666666667
27.75,5055,0,-20
27.8,5054,-20,-26.66666667
27.85,5051,-60,-33.33333333
27.9,5050,-20,-33.33333333
27.95,5049,-20,-33.33333333
28,5046,-60,-20
28.05,5047,20,-33.33333333
28.1,5044,-60,-26.66666667
28.15,5042,-40,-40
28.2,5041,-20,-20
28.25,5041,0,-13.33333333
28.3,5040,-20,0
28.35,5041,20,-6.666666667
28.4,5040,-20,-20
28.45,5037,-60,-33.33333333
28.5,5036,-20,-40
28.55,5034,-40,-26.66666667
28.6,5033,-20,-26.66666667
28.65,5032,-20,-20
28.7,5031,-20,-33.33333333
28.75,5028,-60,-53.33333333
28.8,5024,-80,-40
28.85,5025,20,-40
28.9,5022,-60,-13.33333333
28.95,5022,0,-46.66666667
29,5018,-80,-26.66666667
29.05,5018,0,-33.33333333
29.1,5017,-20,-26.66666667
29.15,5014,-60,-13.33333333
29.2,5016,40,-26.66666667
29.25,5013,-60,-13.33333333
29.3,5012,-20,-40
29.35,5010,-40,-26.66666667
29.4,5009,-20,-26.66666667
29.45,5008,-20,-20
29.5,5007,-20,-20
29.55,5006,-20,-20
29.6,5005,-20,-26.66666667
29.65,5003,-40,-13.33333333
29.7,5004,20,-13.33333333
29.75,5003,-20,-20
29.8,5000,-60,-26.66666667
29.85,5000,0,-40
29.9,4997,-60,-26.66666667
29.95,4996,-20,-33.33333333
30,4995,-20,-26.66666667
30.05,4993,-40,-26.66666667
30.1,4992,-20,-20
30.15,4992,0,-26.66666667
30.2,4989,-60,-26.66666667
30.25,4988,-20,-40
30.3,4986,-40,-13.33333333
30.35,4987,20,-26.66666667
30.4,4984,-60,-13.33333333
30.45,4984,0,-40
