#Horizon flight at 1000psi - Booster Pod A
#10th August 2024
time,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
s,feet,f/s,feet,f/s,e,e,e,e,e,e
7.15,1264,60,1256.12,39.41,0,0,0,0,0,0
7.2,1266,40,1258.09,39.53,0,0,0,0,0,0
7.25,1267,20,1259.88,35.62,0,0,0,0,0,0
7.3,1268,20,1261.5,32.5,0,0,0,0,0,0
7.35,1271,60,1263.4,38,0,0,0,0,0,0
7.4,1271,0,1264.92,30.4,0,0,0,0,0,0
7.45,1273,40,1266.54,32.32,0,0,0,0,0,0
7.5,1273,0,1267.83,25.85,0,0,0,0,0,0
7.55,1275,40,1269.26,28.68,0,0,0,0,0,0
7.6,1276,20,1270.61,26.95,0,0,0,0,0,0
7.65,1277,20,1271.89,25.56,0,0,0,0,0,0
7.7,1277,0,1272.91,20.45,0,0,0,0,0,0
7.75,1278,20,1273.93,20.36,0,0,0,0,0,0
7.8,1279,20,1274.94,20.29,0,0,0,0,0,0
7.85,1279,0,1275.75,16.23,0,0,0,0,0,0
7.9,1279,0,1276.4,12.98,0,0,0,0,0,0
7.95,1279,0,1276.92,10.39,0,0,0,0,0,0
8,1281,40,1277.74,16.31,0,0,1281,0,0,0
8.05,1280,-20,1278.19,9.05,0,0,0,0,0,0
8.1,1281,20,1278.75,11.24,0,0,0,0,0,0
8.15,1281,0,1279.2,8.99,0,0,0,0,0,0
8.2,1280,-20,1279.36,3.19,0,0,0,0,0,0
8.25,1281,20,1279.69,6.55,0,0,0,0,0,0
8.3,1281,0,1279.95,5.24,0,0,0,0,0,0
8.35,1281,0,1280.16,4.19,0,0,0,0,0,0
8.4,1280,-20,1280.13,-0.64,0,0,0,0,0,0
8.45,1280,0,1280.1,-0.52,0,0,0,0,0,0
8.5,1280,0,1280.08,-0.41,0,0,0,0,0,0
8.55,1279,-20,1279.87,-4.33,0,0,0,0,0,0
8.6,1279,0,1279.69,-3.46,0,0,0,0,0,0
8.65,1279,0,1279.55,-2.77,0,0,0,0,0,0
8.7,1277,-40,1279.04,-10.22,0,0,0,0,0,0
8.75,1277,0,1278.63,-8.17,0,0,0,0,0,0
8.8,1276,-20,1278.11,-10.54,0,0,0,0,0,0
8.85,1275,-20,1277.49,-12.43,0,0,0,0,0,0
8.9,1273,-40,1276.59,-17.94,0,0,0,0,0,0
8.95,1272,-20,1275.67,-18.35,0,0,0,0,0,0
9,1273,20,1275.14,-10.68,0,0,0,1273,1273,0
9.5,1275,4,1275.11,-0.05,0,0,0,0,0,0
10,1252,-46,1270.49,-9.24,0,0,0,0,0,0
10.5,1222,-60,1260.79,-19.4,0,0,0,0,0,0
11,1190,-64,1246.63,-28.32,0,0,0,0,0,0
11.5,1168,-44,1230.91,-31.45,0,0,0,0,0,0
12,1110,-116,1206.72,-48.36,0,0,0,0,0,0
