T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
7.90,1279.00,0.00,1276.40,12.98,0,0,0,0,0,0
7.95,1279.00,0.00,1276.92,10.39,0,0,0,0,0,0
8.00,1281.00,40.00,1277.74,16.31,0,0,1281,0,0,0
8.05,1280.00,-20.00,1278.19,9.05,0,0,0,0,0,0
8.10,1281.00,20.00,1278.75,11.24,0,0,0,0,0,0
8.15,1281.00,0.00,1279.20,8.99,0,0,0,0,0,0
8.20,1280.00,-20.00,1279.36,3.19,0,0,0,0,0,0
8.25,1281.00,20.00,1279.69,6.55,0,0,0,0,0,0
8.30,1281.00,0.00,1279.95,5.24,0,0,0,0,0,0
8.35,1281.00,0.00,1280.16,4.19,0,0,0,0,0,0
8.40,1280.00,-20.00,1280.13,-0.64,0,0,0,0,0,0
8.45,1280.00,0.00,1280.10,-0.52,0,0,0,0,0,0
8.50,1280.00,0.00,1280.08,-0.41,0,0,0,0,0,0
8.55,1279.00,-20.00,1279.87,-4.33,0,0,0,0,0,0
8.60,1279.00,0.00,1279.69,-3.46,0,0,0,0,0,0
8.65,1279.00,0.00,1279.55,-2.77,0,0,0,0,0,0
8.70,1277.00,-40.00,1279.04,-10.22,0,0,0,0,0,0
8.75,1277.00,0.00,1278.63,-8.17,0,0,0,0,0,0
8.80,1276.00,-20.00,1278.11,-10.54,0,0,0,0,0,0
8.85,1275.00,-20.00,1277.49,-12.43,0,0,0,0,0,0
8.90,1273.00,-40.00,1276.59,-17.94,0,0,0,0,0,0
8.95,1272.00,-20.00,1275.67,-18.35,0,0,0,0,0,0
9.00,1273.00,20.00,1275.14,-10.68,0,0,0,1273,1273,0
9.50,1275.00,4.00,1275.11,-0.05,0,0,0,0,0,0
10.00,1252.00,-46.00,1270.49,-9.24,0,0,0,0,0,0
10.50,1222.00,-60.00,1260.79,-19.40,0,0,0,0,0,0
11.00,1190.00,-64.00,1246.63,-28.32,0,0,0,0,0,0
11.50,1168.00,-44.00,1230.91,-31.45,0,0,0,0,0,0
12.00,1110.00,-116.00,1206.72,-48.36,0,0,0,0,0,0
12.50,1105.00,-10.00,1186.38,-40.69,0,0,0,0,0,0
13.00,1104.00,-2.00,1169.90,-32.95,0,0,0,0,0,0
13.50,1082.00,-44.00,1152.32,-35.16,0,0,0,0,0,0
14.00,1070.00,-24.00,1135.86,-32.93,0,0,0,0,0,0
14.50,1066.00,-8.00,1121.89,-27.94,0,0,0,0,0,0
15.00,1053.00,-26.00,1108.11,-27.55,0,0,0,0,0,0
15.50,1047.00,-12.00,1095.89,-24.44,0,0,0,0,0,0
16.00,1040.00,-14.00,1084.71,-22.35,0,0,0,0,0,0
16.50,1034.00,-12.00,1074.57,-20.28,0,0,0,0,0,0
17.00,1025.00,-18.00,1064.65,-19.83,0,0,0,0,0,0
17.50,1014.00,-22.00,1054.52,-20.26,0,0,0,0,0,0
18.00,1005.00,-18.00,1044.62,-19.81,0,0,0,0,0,0
18.50,993.00,-24.00,1034.30,-20.65,0,0,0,0,0,0
19.00,983.00,-20.00,1024.04,-20.52,0,0,0,0,0,0
19.50,971.00,-24.00,1013.43,-21.21,0,0,0,0,0,0
20.00,959.00,-24.00,1002.54,-21.77,0,0,0,0,0,0
20.50,949.00,-20.00,991.83,-21.42,0,0,0,0,0,0
21.00,939.00,-20.00,981.27,-21.13,0,0,0,0,0,0
21.50,929.00,-20.00,970.81,-20.91,0,0,0,0,0,0
22.00,922.00,-14.00,961.05,-19.53,0,0,0,0,0,0
22.50,915.00,-14.00,951.84,-18.42,0,0,0,0,0,0
23.00,906.00,-18.00,942.67,-18.34,0,0,0,0,0,0
23.50,899.00,-14.00,933.94,-17.47,0,0,0,0,0,0
24.00,890.00,-18.00,925.15,-17.58,0,0,0,0,0,0
24.50,881.00,-18.00,916.32,-17.66,0,0,0,0,0,0
25.00,870.00,-22.00,907.06,-18.53,0,0,0,0,0,0
25.50,858.00,-24.00,897.25,-19.62,0,0,0,0,0,0
26.00,848.00,-20.00,887.40,-19.70,0,0,0,0,0,0
26.50,837.00,-22.00,877.32,-20.16,0,0,0,0,0,0
27.00,824.00,-26.00,866.65,-21.33,0,0,0,0,0,0
27.50,814.00,-20.00,856.12,-21.06,0,0,0,0,0,0
28.00,802.00,-24.00,845.30,-21.65,0,0,0,0,0,0
28.50,790.00,-24.00,834.24,-22.12,0,0,0,0,0,0
29.00,780.00,-20.00,823.39,-21.70,0,0,0,0,0,0
29.50,768.00,-24.00,812.31,-22.16,0,0,0,0,0,0
30.00,758.00,-20.00,801.45,-21.73,0,0,0,0,0,0
30.50,747.00,-22.00,790.56,-21.78,0,0,0,0,0,0
31.00,735.00,-24.00,779.45,-22.22,0,0,0,0,0,0
31.50,722.00,-26.00,767.96,-22.98,0,0,0,0,0,0
32.00,710.00,-24.00,756.37,-23.18,0,0,0,0,0,0
32.50,699.00,-22.00,744.89,-22.95,0,0,0,0,0,0
33.00,686.00,-26.00,733.11,-23.56,0,0,0,0,0,0
33.50,673.00,-26.00,721.09,-24.05,0,0,0,0,0,0
